Determiner,Pronoun_Male,Pronoun_Female,Technical_Word,Relationship_And_Personal_Life,Preposition,Common_Word_Count,Gender
87,0,0,9,31,286,68,0
58,5,3,13,38,93,78,0
59,7,0,35,35,126,79,0
83,0,0,17,50,281,64,0
95,0,6,20,39,195,78,0
110,2,2,30,46,138,89,0
88,9,1,37,70,174,87,0
103,2,1,33,34,229,90,0
99,3,0,10,17,155,69,0
121,1,1,36,45,164,85,0
84,0,0,13,39,262,58,0
61,0,3,40,24,117,60,0
82,5,3,22,35,131,79,0
80,4,12,31,53,149,88,0
117,2,3,58,42,203,85,0
94,22,3,21,25,119,92,0
93,0,0,21,23,163,75,0
114,5,2,37,38,141,86,0
106,7,6,30,28,153,87,0
65,0,0,71,35,192,58,0
110,17,4,24,40,138,87,0
70,0,0,27,64,227,48,0
53,1,1,2,27,107,46,0
10,0,0,23,118,36,28,0
42,0,4,4,28,108,55,0
151,1,2,36,81,111,62,0
58,2,1,24,18,80,73,0
105,0,0,25,27,148,79,0
71,2,1,25,31,124,70,0
107,3,0,47,48,158,85,0
66,11,2,17,22,137,71,0
124,14,5,33,47,174,81,0
23,12,0,19,11,42,57,0
56,0,0,25,43,157,64,0
91,7,12,31,38,182,89,0
101,0,0,0,0,52,2,0
70,3,3,19,65,126,81,0
176,11,8,48,50,247,103,0
87,2,2,16,40,130,80,0
57,1,1,47,38,110,60,0
149,19,6,44,39,200,99,0
88,1,9,21,44,203,87,0
95,1,1,18,27,106,78,0
142,7,2,22,33,256,79,0
106,7,7,30,46,199,92,0
118,8,6,29,32,168,88,0
132,4,0,37,40,230,89,0
104,5,4,34,58,166,89,0
63,3,2,41,38,285,85,0
127,1,2,30,48,164,86,0
65,0,0,41,24,229,63,0
98,2,6,11,38,168,75,0
120,0,1,26,53,158,82,0
70,1,1,14,30,106,68,0
73,4,3,23,30,99,83,0
115,3,0,19,38,134,79,0
125,0,1,32,53,180,76,0
97,8,2,36,32,144,88,0
127,10,10,52,42,222,92,0
88,1,4,37,35,213,45,0
64,0,3,16,17,89,68,0
80,6,7,25,25,115,77,0
121,9,8,27,42,208,94,0
54,1,0,16,30,137,71,0
80,0,1,17,33,167,79,0
48,6,4,12,19,93,64,0
79,0,0,11,44,263,63,0
103,1,10,24,64,187,78,0
79,2,7,24,30,122,76,0
86,11,4,28,45,122,81,0
39,0,0,22,13,105,50,0
69,1,5,22,55,119,81,0
111,7,1,20,44,191,87,0
72,6,3,20,19,127,79,0
142,1,3,41,27,191,91,0
133,32,5,37,31,173,85,0
118,11,4,20,34,184,93,0
81,7,9,6,33,124,81,0
99,14,2,30,28,143,88,0
